feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,approved,prediction,result
-0.46305137872695923,-0.45526841282844543,0.27533361315727234,-0.6326927542686462,-0.607397735118866,0.0,0.0,1.0,0.0,0.0,1.0,0,1,False
1.6677085161209106,1.4854592084884644,-1.2702891826629639,1.6360069513320923,1.5184943675994873,0.0,0.0,0.0,1.0,0.0,1.0,1,1,True
1.1178349256515503,0.9309655427932739,-1.0325011014938354,1.04673433303833,0.607397735118866,0.0,0.0,0.0,1.0,1.0,0.0,1,1,True
0.8428982496261597,0.8385499715805054,-0.9136070013046265,0.7520979642868042,0.9110966324806213,0.0,0.0,0.0,1.0,0.0,1.0,1,1,True
0.5679614543914795,0.6537187695503235,-0.6758188605308533,0.4574616551399231,0.607397735118866,1.0,0.0,0.0,0.0,1.0,0.0,1,1,True
0.36175888776779175,0.37647196650505066,-0.7947129607200623,-0.1318109929561615,0.303698867559433,1.0,0.0,0.0,0.0,0.0,1.0,1,1,True
-1.4253300428390503,-1.4718400239944458,1.7020623683929443,-1.3103562593460083,-1.214795470237732,0.0,0.0,1.0,0.0,1.0,0.0,0,1,False
0.155556321144104,0.4688875675201416,-0.43803074955940247,0.1038980707526207,0.303698867559433,1.0,0.0,0.0,0.0,1.0,0.0,1,1,True
0.980366587638855,1.2082123756408691,-1.1513950824737549,1.1940524578094482,1.214795470237732,0.0,0.0,0.0,1.0,0.0,1.0,1,1,True
1.3927717208862305,1.3930435180664062,-1.3891832828521729,1.4886888265609741,1.8221932649612427,0.0,0.0,0.0,1.0,1.0,0.0,1,1,True
-0.9441907405853271,-1.1391438245773315,1.226486086845398,-1.0451836585998535,-0.9110966324806213,0.0,1.0,0.0,0.0,0.0,1.0,0,1,False
0.08682213723659515,0.5613031387329102,-0.5569248199462891,0.015507175587117672,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,True
-0.3943171799182892,-0.27043724060058594,0.03754549100995064,-0.5737654566764832,-0.303698867559433,0.0,1.0,0.0,0.0,0.0,1.0,1,0,False
-1.287861704826355,-1.2870088815689087,1.5831682682037354,-1.1630381345748901,-1.214795470237732,0.0,0.0,1.0,0.0,0.0,1.0,0,1,False
-1.0129249095916748,-1.0097620487213135,1.107591986656189,-0.9567927122116089,-0.9110966324806213,1.0,0.0,0.0,0.0,0.0,1.0,0,1,False
-0.18811462819576263,-0.5476840138435364,0.39422768354415894,-0.4264473021030426,-0.607397735118866,0.0,1.0,0.0,0.0,1.0,0.0,0,1,False
